species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,bill_length_z,bill_depth_z
Adelie,Torgersen,39.1,18.7,181,3750,male,2007,-0.8946954699439735,0.7795589525627764
Adelie,Torgersen,39.5,17.4,186,3800,female,2007,-0.8215515206427172,0.11940427618479123
Adelie,Torgersen,40.3,18,195,3250,female,2007,-0.6752636220402045,0.424091049897708
Adelie,Torgersen,36.7,19.3,193,3450,female,2007,-1.3335591657515127,1.084245726275693
Adelie,Torgersen,39.3,20.6,190,3650,male,2007,-0.858123495293346,1.7444004026536784
Adelie,Torgersen,38.9,17.8,181,3625,female,2007,-0.9312674445946023,0.322528791993403
Adelie,Torgersen,39.2,19.6,195,4675,male,2007,-0.8764094826186591,1.2365891131321516
Adelie,Torgersen,41.1,17.6,182,3200,female,2007,-0.5289757234376906,0.22096653408909803
Adelie,Torgersen,38.6,21.2,191,3800,male,2007,-0.9861254065705443,2.0490871763665934
Adelie,Torgersen,34.6,21.1,198,4400,male,2007,-1.71756489958311,1.9983060474144416
Adelie,Torgersen,36.6,17.8,185,3700,female,2007,-1.3518451530768272,0.322528791993403
Adelie,Torgersen,38.7,19,195,3450,female,2007,-0.9678394192452299,0.9319023394192347
Adelie,Torgersen,42.5,20.7,197,4500,male,2007,-0.2729719008832928,1.79518153160583
Adelie,Torgersen,34.4,18.4,184,3325,female,2007,-1.7541368742337389,0.627215565706318
Adelie,Torgersen,46,21.5,194,4200,male,2007,0.36703765550270223,2.2014305632230515
Adelie,Biscoe,37.8,18.3,174,3400,female,2007,-1.1324133051730583,0.5764344367541664
Adelie,Biscoe,37.7,18.7,180,3600,male,2007,-1.1506992924983712,0.7795589525627764
Adelie,Biscoe,35.9,19.2,189,3800,female,2007,-1.4798470643540267,1.0334645973235397
Adelie,Biscoe,38.2,18.1,185,3950,male,2007,-1.0592693558718005,0.4748721788498614
Adelie,Biscoe,38.8,17.2,180,3800,male,2007,-0.9495534319199167,0.017842018280486233
Adelie,Biscoe,35.3,18.9,187,3800,female,2007,-1.589562988305912,0.8811212104670814
Adelie,Biscoe,40.6,18.6,183,3550,male,2007,-0.6204056600642613,0.7287778236106248
Adelie,Biscoe,40.5,17.9,187,3200,female,2007,-0.6386916473895757,0.3733099209455546
Adelie,Biscoe,37.9,18.6,172,3150,female,2007,-1.1141273178477438,0.7287778236106248
Adelie,Biscoe,40.5,18.9,180,3950,male,2007,-0.6386916473895757,0.8811212104670814
Adelie,Dream,39.5,16.7,178,3250,female,2007,-0.8215515206427172,-0.23606362648027715
Adelie,Dream,37.2,18.1,178,3900,male,2007,-1.242129229124942,0.4748721788498614
Adelie,Dream,39.5,17.8,188,3300,female,2007,-0.8215515206427172,0.322528791993403
Adelie,Dream,40.9,18.9,184,3900,male,2007,-0.5655476980883194,0.8811212104670814
Adelie,Dream,36.4,17,195,3325,female,2007,-1.388417127727456,-0.08372023962381876
Adelie,Dream,39.2,21.1,196,4150,male,2007,-0.8764094826186591,1.9983060474144416
Adelie,Dream,38.8,20,190,3950,male,2007,-0.9495534319199167,1.4397136289407615
Adelie,Dream,42.2,18.5,180,3550,female,2007,-0.32782986285923477,0.6779966946584713
Adelie,Dream,37.6,19.3,181,3300,female,2007,-1.1689852798236857,1.084245726275693
Adelie,Dream,39.8,19.1,184,4650,male,2007,-0.7666935586667752,0.9826834683713882
Adelie,Dream,36.5,18,182,3150,female,2007,-1.3701311404021415,0.424091049897708
Adelie,Dream,40.8,18.4,195,3900,male,2007,-0.5838336854136338,0.627215565706318
Adelie,Dream,36,18.5,186,3100,female,2007,-1.4615610770287122,0.6779966946584713
Adelie,Dream,44.1,19.7,196,4400,male,2007,0.019603896321733753,1.2873702420843032
Adelie,Dream,37,16.9,185,3000,female,2007,-1.2787012037755707,-0.13450136857597217
Adelie,Dream,39.6,18.8,190,4600,male,2007,-0.8032655333174028,0.8303400815149298
Adelie,Dream,41.1,19,182,3425,male,2007,-0.5289757234376906,0.9319023394192347
Adelie,Dream,36,17.9,190,3450,female,2007,-1.4615610770287122,0.3733099209455546
Adelie,Dream,42.3,21.2,191,4150,male,2007,-0.30954387553392165,2.0490871763665934
Adelie,Biscoe,39.6,17.7,186,3500,female,2008,-0.8032655333174028,0.2717476630412496
Adelie,Biscoe,40.1,18.9,188,4300,male,2008,-0.7118355966908321,0.8811212104670814
Adelie,Biscoe,35,17.9,190,3450,female,2008,-1.6444209502818536,0.3733099209455546
Adelie,Biscoe,42,19.5,200,4050,male,2008,-0.36440183750986355,1.1858079841799982
Adelie,Biscoe,34.5,18.1,187,2900,female,2008,-1.7358508869084244,0.4748721788498614
Adelie,Biscoe,41.4,18.6,191,3700,male,2008,-0.4741177614617487,0.7287778236106248
Adelie,Biscoe,39,17.5,186,3550,female,2008,-0.9129814572692879,0.1701854051369446
Adelie,Biscoe,40.6,18.8,193,3800,male,2008,-0.6204056600642613,0.8303400815149298
Adelie,Biscoe,36.5,16.6,181,2850,female,2008,-1.3701311404021415,-0.28684475543242877
Adelie,Biscoe,37.6,19.1,194,3750,male,2008,-1.1689852798236857,0.9826834683713882
Adelie,Biscoe,35.7,16.9,185,3150,female,2008,-1.5164190390046541,-0.13450136857597217
Adelie,Biscoe,41.3,21.1,195,4400,male,2008,-0.4924037487870631,1.9983060474144416
Adelie,Biscoe,37.6,17,185,3600,female,2008,-1.1689852798236857,-0.08372023962381876
Adelie,Biscoe,41.1,18.2,192,4050,male,2008,-0.5289757234376906,0.525653307802013
Adelie,Biscoe,36.4,17.1,184,2850,female,2008,-1.388417127727456,-0.03293911067166536
Adelie,Biscoe,41.6,18,192,3950,male,2008,-0.4375457868111199,0.424091049897708
Adelie,Biscoe,35.5,16.2,195,3350,female,2008,-1.552991013655283,-0.4899692712410405
Adelie,Biscoe,41.1,19.1,188,4100,male,2008,-0.5289757234376906,0.9826834683713882
Adelie,Torgersen,35.9,16.6,190,3050,female,2008,-1.4798470643540267,-0.28684475543242877
Adelie,Torgersen,41.8,19.4,198,4450,male,2008,-0.4009738121604924,1.1350268552278446
Adelie,Torgersen,33.5,19,190,3600,female,2008,-1.9187107601615658,0.9319023394192347
